安心,ān xīn,động từ,Yên tâm,你可以安心工作，我来照顾孩子。,"Nǐ kěyǐ ānxīn gōngzuò, wǒ lái zhào","Bạn có thể yên tâm làm việc, tôi sẽ chăm sóc con."
安排,ān pái,động từ,"Sắp xếp, bố trí",老师安排了明天的课程表。,Lǎoshī ānpái le míngtiān de kèché,Giáo viên đã sắp xếp thời khóa biểu cho ngày mai.
安装,ān zhuāng,động từ,"Lắp đặt, cài đặt",我正在(tô đỏ 安装)新软件。,Wǒ zhèngzài ānzhuāng xīn ruǎnjià,Tôi đang cài đặt phần mềm mới.
按,àn,động từ,"Ấn, bấm, nhấn",他正在按门铃。,Tā zhèngzài àn ménlíng,Anh ấy đang ấn chuông cửa.
按照,ànzhào,giới từ,"Theo, dựa theo",我会按照时间表工作。,Wǒ huì ànzhào shíjiān biǎo gōngzu,Tôi sẽ làm việc theo lịch trình.
把,bǎ,giới từ,"Đem, lấy",请把书放在桌子上。,Qǐng bǎ shū fàng zài zhuōzi shàng,Hãy đặt sách lên bàn.
把,bǎ,lượng từ,Cái (dùng cho đồ vật có tay cầ,他买了(tô đỏ一把)伞。,Tā mǎile yì bǎ sǎn,Anh ấy đã mua một cái ô.
把握,bǎwò,động từ,"Nắm chắc, nắm bắt",他把握住了这个机会。,Tā bǎwò zhù le zhège jīhuì,Anh ấy đã nắm bắt chắc cơ hội này.
白,bái,phó từ,"Uổng công, vô ích",我白跑了一趟。,Wǒ bái pǎo le yí tàng,Tôi chạy đi một chuyến uổng công.
白菜,báicài,danh từ,Cải trắng,我喜欢吃白菜。,Wǒ xǐhuan chī báicài,Tôi thích ăn cải trắng.
班级,bānjí,danh từ,Lớp học,我们班级有二十个学生。,Wǒmen bānjí yǒu èrshí gè xuéshē,Lớp chúng tôi có 20 học sinh.
搬,bān,động từ,"Chuyển, dời",我明天要搬家。,Wǒ míngtiān yào bānjiā,Ngày mai tôi phải chuyển nhà đi.
搬家,bānjiā,động từ,Chuyển nhà,,,
板,bǎn,danh từ,"Tấm gỗ, miếng ván",他坐在一块木板上。,Tā zuò zài yí kuài mùbǎn shàng,Anh ấy đang ngồi trên một tấm ván gỗ.
办理,bànlǐ,động từ,"Xử lý, làm thủ tục",我去银行办理银行卡。,Wǒ qù yínháng bànlǐ yínhángkǎ,Tôi đến ngân hàng để làm thẻ ngân hàng.
保,bǎo,động từ,"Bảo vệ, giữ gìn",那个保安很热情。,Nàgè bǎo’ān hěn rèqíng,Anh bảo vệ đó rất nhiệt tình.
保安,bǎo’ān,danh từ,Bảo vệ (người),,,
保持,bǎochí,động từ,"Giữ gìn, duy trì",(tô đỏ 保持)健康很重要。,Bǎochí jiànkāng hěn zhòngyào,Duy trì sức khỏe là rất quan trọng.
