啊,a,Thán từ,"A, à",你来了啊！,Nǐ lái le ā,Bạn đến rồi à!
爱情,àiqíng,Danh từ,"Tình yêu, tình cảm",他们的爱情很美好。,Tāmen de àiqíng hěn měihǎo,Tình yêu của họ rất đẹp.
爱人,àirén,Danh từ,Người yêu,他的爱人是医生。,Tā de àirén shì yīshēng,Người yêu của anh ấy là bác sĩ.
安静,ānjìng,Tính từ,Yên tĩnh,请安静一点儿！,Qǐng ānjìng yìdiǎnr,Xin hãy yên lặng một chút!
安全,ānquán,Tính từ,An toàn,晚上一个人走路不太安全。,Wǎnshàng yíge rén zǒulù bú tài ānquán,Đi bộ một mình vào buổi tối sẽ không an toàn lắm.
白色,báisè,Danh từ,Màu trắng,我喜欢白色的衣服。,Wǒ xǐhuan báisè de yīfu,Tôi thích quần áo màu trắng.
班长,bānzhǎng,Danh từ,Lớp trưởng,我们班的班长很聪明。,Wǒmen bān de bānzhǎng hěn cōngmíng,Lớp trưởng của lớp chúng tôi rất thông minh.
办,bàn,Động từ,"Làm, xử lý",我去办签证。,Wǒ qù bàn qiānzhèng,Tôi đi làm visa.
办法,bànfǎ,Phó từ,"Cách làm, biện pháp",你有办法吗？,Nǐ yǒu bànfǎ ma,Bạn có cách nào không?
办公室,bàngōngshì,Danh từ,Phòng làm việc,老师在办公室工作。,Lǎoshī zài bàngōngshì gōngzuò,Giáo viên đang làm việc ở văn phòng.
半夜,bànyè,Danh từ,Nửa đêm,他半夜还在看书。,Tā bànyè hái zài kàn shū,Nửa đêm rồi mà anh ấy vẫn đang đọc sách.
帮助,bāngzhù,Động từ,Giúp đỡ,我需要你的(tô đỏ帮助)。,Wǒ xūyào nǐ de bāngzhù,Tôi cần sự giúp đỡ của bạn
饱,bǎo,Tính từ,No,我吃饱了。,Wǒ chī bǎo le,Tôi ăn no rồi.
报名,bàomíng,Động từ,Đăng ký,你报名参加比赛了吗？,Nǐ bàomíng cānjiā bǐsài le ma?,Bạn đã đăng ký tham gia cuộc thi chưa?
报纸,bàozhǐ,Danh từ,"Báo, tờ báo",我爸爸每天早上都看报纸。,Wǒ bàba měitiān zǎoshang dōu kàn bàozhǐ,Mỗi buổi sáng ba tôi đều đọc báo.
北方,běifāng,Danh từ,Phương bắc,中国北方的冬天很冷。,Zhōngguó běifāng de dōngtiān hěn lěng,Mùa đông ở miền Bắc Trung Quốc rất lạnh.
背,bèi,Động từ Lượng từ,"Cõng, mang vác bó",他背小孩走过山坡。 一背柴火足够用了。,Tā bēi xiǎohái zǒuguò shānpō/ /Yì bēi cháihuǒ zúgòu yòng le,Anh ấy cõng đứa bé đi qua sườn núi. Một bó củi là đủ dùng rồi.
比如,bǐrú,Phó từ,Ví dụ,我喜欢运动，比如跑步和游泳。,"Wǒ xǐhuan yùndòng, bǐrú pǎobù hé yóuyǒng","Tôi thích thể thao, ví dụ như chạy bộ và bơi lội."
比如说,bǐrú shuō,Phó từ,"Ví dụ, chẳng hạn như",这里有很多好吃的，比如说北京烤鸭和饺子。,"Zhèli yǒu hěn duō hǎochī de, bǐrú shuō Běijīng kǎoyā hé jiǎozi","Ở đây có nhiều món ngon, ví dụ như vịt quay Bắc Kinh và sủi cảo."
笔,bǐ,Danh từ,Bút,我的笔呢？,Wǒ de bǐ ne?,Cây bút của tôi đâu rồi?
笔记,bǐjì,Danh từ,Ghi,上课时要认真做笔记。,Shàngkè shí yào rènzhēn zuò bǐjì,Trong lớp học phải ghi chép cẩn thận.
笔记本,bǐjìběn,Danh từ,Sổ ghi chép,我买了一个新的笔记本。,Wǒ mǎi le yíge xīn de bǐjìběn,Tôi đã mua một quyển sổ ghi chép mới.
必须,bìxū,Động từ,"Cần, phải",你必须每天练习说汉语。,Nǐ bìxū měitiān liànxí shuō Hànyǔ,Bạn cần phải luyện tập nói tiếng Trung mỗi ngày.
边,biān,Danh từ,"Bên, bên cạnh",他坐在窗边看书。,Tā zuò zài chuāng biān kàn shū,Anh ấy ngồi bên cửa sổ đọc sách.
变,biàn,Động từ,"Biến đổi, thay đổi",天气变冷了。,Tiānqì biàn lěng le,Thời tiết trở lạnh rồi.
变成,biànchéng,Động từ,"Trở thành, biến thành",这些种子都变成花了。,Zhèxiē zhǒngzǐ dōu biàn chéng huā le,Những hạt giống này đều biến thành hoa.
遍,biàn,Lượng từ,Lần,这本书我看了三遍。,Zhè běn shū wǒ kàn le sān biàn,Quyển sách này tôi đã đọc ba lần.
表,biǎo,Danh từ,"Bảng, đồng hồ",我的手表坏了。,Wǒ de shǒubiǎo huài le,Đồng hồ của tôi bị hỏng rồi.
表示,biǎoshì,Động từ,"Biểu thị, bày tỏ",他点头表示同意。,Tā diǎntóu biǎoshì tóngyì,Anh ấy gật đầu để bày tỏ sự đồng ý.
不错,búcuò,Tính từ,"Không tệ, khá tốt",人家待你可真不错。,Rénjiā dài nǐ kě zhēnbùcuò,Mọi người đối xử với anh khá tốt.
