Trật tự câu cơ bản,1,Khẳng định chủ thể thực hiện hành động. Cấu trúc: S + V + O,1. 我叫高小明。2. 他学习汉语。3. 我们吃米饭。,1. Wǒ jiào Gāo Xiǎomíng.2. Tā xuéxí Hànyǔ.3. Wǒmen chī mǐfàn.,1. Tôi tên là Cao Tiểu Minh.2. Anh ấy học tiếng Hán.3. Chúng tôi ăn cơm.
Hỏi tiếp nối với 呢 (ne),1,Hỏi rút gọn nối tiếp chủ đề vừa nói. Cấu trúc: Đại từ/Danh từ + 呢？,1. 我叫卡玛拉。你呢？2. 我很好。妈妈呢？3. 他去学校。妹妹呢？,1. Wǒ jiào Kǎmǎlā. Nǐ ne?2. Wǒ hěn hǎo. Māma ne?3. Tā qù xuéxiào. Mèimei ne?,1. Tôi tên Kamala. Còn bạn?2. Tôi rất khỏe. Mẹ thì sao?3. Anh ấy đi học. Em gái thì sao?
Sở hữu với 的 (de),1,Biểu thị sự sở hữu. Cấu trúc: Người sở hữu + 的 + Vật,1. 我的名片。2. 老师的名字。3. 他的女朋友。,1. Wǒ de míngpiàn.2. Lǎoshī de míngzi.3. Tā de nǚpéngyou.,1. Danh thiếp của tôi.2. Tên của giáo viên.3. Bạn gái của anh ấy.
Câu vị ngữ tính từ,1,Tính từ miêu tả trực tiếp chủ ngữ. Cấu trúc: S + (Phó từ) + Tính từ,1. 我很好。2. 汉语不难。3. 他很高兴。,1. Wǒ hěn hǎo.2. Hànyǔ bù nán.3. Tā hěn gāoxìng.,1. Tôi rất khoẻ.2. Tiếng Hán không khó.3. Anh ấy rất vui.
Câu nghi vấn 吗 (ma),1,Câu hỏi Có/Không. Cấu trúc: Câu khẳng định + 吗？,1. 你是中国人吗？2. 你去银行吗？3. 他是老师吗？,1. Nǐ shì Zhōngguórén ma?2. Nǐ qù yínháng ma?3. Tā shì lǎoshī ma?,1. Bạn là người TQ à?2. Bạn đi ngân hàng không?3. Anh ấy là giáo viên à?
Phó từ 也 (yě),1,"Biểu thị ý nghĩa ""Cũng"". Cấu trúc: S + 也 + V/Adj",1. 认识你我也很高兴。2. 我也吃牛肉。3. 他也不去。,1. Rènshi nǐ wǒ yě hěn gāoxìng.2. Wǒ yě chī niúròu.3. Tā yě bú qù.,1. Biết bạn tôi cũng rất vui.2. Tôi cũng ăn thịt bò.3. Anh ấy cũng không đi.
Câu hỏi Chính - Phản,1,Hỏi trực tiếp chọn khẳng định/phủ định. Cấu trúc: V + 不 + V,1. 你是不是老师？2. 人民广场远不远？3. 你有没有名片？,1. Nǐ shì bu shì lǎoshī?2. Rénmín Guǎngchǎng yuǎn bu yuǎn?3. Nǐ yǒu méiyǒu míngpiàn?,1. Bạn có phải giáo viên không?2. Quảng trường ND xa không?3. Bạn có danh thiếp không?
Lượng từ,1,Kết nối số đếm và danh từ. Cấu trúc: Số từ + Lượng từ + Danh từ,1. 两个人。2. 一碗米饭。3. 三杯奶茶。,1. Liǎng gè rén.2. Yì wǎn mǐfàn.3. Sān bēi nǎichá.,1. Hai người.2. Một bát cơm.3. Ba cốc trà sữa.
Câu lựa chọn 还是 (háishì),1,Hỏi đối phương chọn A hay B. Cấu trúc: A + 还是 + B,1. 你喝奶茶还是咖啡？2. 你要大杯还是小杯？3. 你吃面还是米饭？,1. Nǐ hē nǎichá háishi kāfēi?2. Nǐ yào dà bēi háishi xiǎo bēi?3. Nǐ chī miàn háishi mǐfàn?,1. Bạn uống trà sữa hay cà phê?2. Bạn lấy cốc to hay nhỏ?3. Bạn ăn mì hay cơm?
Biến điệu của 不 (bù),1,"""不"" đọc thành ""bú"" khi đứng trước thanh 4. Cấu trúc: bú + Âm thanh 4",1. 不对。2. 不是。3. 不客气。,1. Bú duì.2. Bú shì.3. Bú kèqi.,1. Không đúng.2. Không phải.3. Đừng khách sáo.
Trạng ngữ nơi chốn 在,1,Chỉ rõ địa điểm xảy ra hành động. Cấu trúc: S + 在 + Địa điểm + V,1. 我在中国学习汉语。2. 他在公司工作。3. 你们在哪儿吃饭？,1. Wǒ zài Zhōngguó xuéxí Hànyǔ.2. Tā zài gōngsī gōngzuò.3. Nǐmen zài nǎr chī fàn?,1. Tôi học tiếng Hán ở TQ.2. Anh ấy làm việc ở công ty.3. Các bạn ăn cơm ở đâu?
Câu tồn tại 有 (yǒu),1,Miêu tả ở một nơi có cái gì. Cấu trúc: Nơi chốn + 有 + Vật,1. 附近有一家银行。2. 学校对面有一个超市。3. 家里有四口人。,1. Fùjìn yǒu yì jiā yínháng.2. Xuéxiào duìmiàn yǒu yí gè chāoshì.3. Jiālǐ yǒu sì kǒu rén.,1. Gần đây có một ngân hàng.2. Đối diện trường có 1 siêu thị.3. Trong nhà có 4 người.
Động từ 在 chỉ vị trí,1,Chỉ vị trí của vật/người. Cấu trúc: S + 在 + Nơi chốn,1. 中国银行在哪儿？2. 老师在学校。3. 医院在超市后面。,1. Zhōngguó yínháng zài nǎr?2. Lǎoshī zài xuéxiào.3. Yīyuàn zài chāoshì hòumiàn.,1. Ngân hàng TQ ở đâu?2. Giáo viên ở trường.3. Bệnh viện ở sau siêu thị.
Phó từ 就 (jiù),1,Nhấn mạnh sự thật hiển nhiên. Cấu trúc: S + 就 + 在/是...,1. 银行就在超市对面。2. 他就是大卫。3. 书店就在这儿。,1. Yínháng jiù zài chāoshì duìmiàn.2. Tā jiù shì Dàwèi.3. Shūdiàn jiù zài zhèr.,1. Ngân hàng ngay đối diện siêu thị.2. Anh ấy chính là David.3. Hiệu sách ở ngay đây.
Câu vị ngữ Danh từ,1,"Nói về thời gian, tuổi tác. Cấu trúc: S + Cụm Danh từ",1. 今天星期三。2. 他二十岁。3. 今天十号。,1. Jīntiān xīngqīsān.2. Tā èrshí suì.3. Jīntiān shí hào.,1. Hôm nay thứ Tư.2. Anh ấy 20 tuổi.3. Hôm nay mùng 10.
Trạng ngữ Thời gian,1,Chỉ thời điểm xảy ra sự việc. Cấu trúc: Thời gian + S + V,1. 星期五你有空儿吗？2. 我今天晚上看电影。3. 明天我们吃中国菜。,1. Xīngqīwǔ nǐ yǒu kòngr ma?2. Wǒ jīntiān wǎnshang kàn diànyǐng.3. Míngtiān wǒmen chī Zhōngguócài.,1. Thứ Sáu bạn rảnh không?2. Tối nay tôi xem phim.3. Ngày mai chúng ta ăn món Trung.
Trợ từ ngữ khí 吧 (ba),1,"Đưa ra đề nghị, rủ rê. Cấu trúc: Câu khẳng định + 吧",1. 我们坐地铁去吧。2. 你是留学生吧？3. 我们吃饭吧。,1. Wǒmen zuò dìtiě qù ba.2. Nǐ shì liúxuéshēng ba?3. Wǒmen chī fàn ba.,1. Chúng ta đi tàu điện ngầm đi!2. Bạn là lưu học sinh nhỉ?3. Chúng ta ăn cơm thôi.
Hành động tiếp diễn,2,Đang xảy ra tại thời điểm nói. Cấu trúc: 在/正在 + V + (呢),1. 他在做什么？2. 我正在听音乐呢。3. 老师正在上课。,1. Tā zài zuò shénme?2. Wǒ zhèngzài tīng yīnyuè ne.3. Lǎoshī zhèngzài shàng kè.,1. Anh ấy đang làm gì?2. Tôi đang nghe nhạc đây.3. Giáo viên đang lên lớp.
Cấu trúc đồng thời,2,Hai hành động thực hiện cùng lúc. Cấu trúc: 一边 + V1，一边 + V2,1. 她一边唱歌，一边跳舞。2. 他一边吃饭，一边看电视。3. 我一边走路，一边听音乐。,"1. Tā yìbiān chàng gē, yìbiān tiào wǔ.2. Tā yìbiān chī fàn, yìbiān kàn diànshì.3. Wǒ yìbiān zǒu lù, yìbiān tīng yīnyuè.",1. Cô ấy vừa hát vừa nhảy.2. Anh ấy vừa ăn vừa xem TV.3. Tôi vừa đi bộ vừa nghe nhạc.
Cách đọc giờ phút,2,Nói về thời gian cụ thể. Cấu trúc: [Số] 点 + [Số] 分/半/刻,1. 现在十二点半。2. 我六点一刻起床。3. 下午两点十分有课。,1. Xiànzài shí'èr diǎn bàn.2. Wǒ liù diǎn yí kè qǐ chuáng.3. Xiàwǔ liǎng diǎn shí fēn yǒu kè.,1. Bây giờ 12 rưỡi.2. Tôi dậy lúc 6:15.3. Chiều 2:10 có lớp.
Động từ năng nguyện 1,2,"Thể hiện mong muốn, xin phép. Cấu trúc: 想 / 可以 + V",1. 我想用一下你的电脑。2. 你可以帮我吗？3. 上课不可以打电话。,1. Wǒ xiǎng yòng yíxià nǐ de diànnǎo.2. Nǐ kěyǐ bāng wǒ ma?3. Shàng kè bù kěyǐ dǎ diànhuà.,1. Tôi muốn dùng máy tính của bạn.2. Bạn giúp tôi được không?3. Trong lớp không được gọi điện.
Bổ ngữ động lượng ngắn,2,Làm việc gì đó trong chốc lát. Cấu trúc: V + 一下,1. 我用一下你的电脑。2. 请等一下。3. 你试一下这件衣服。,1. Wǒ yòng yíxià nǐ de diànnǎo.2. Qǐng děng yíxià.3. Nǐ shì yíxià zhè jiàn yīfu.,1. Tôi dùng máy tính của bạn lát.2. Xin đợi một chút.3. Bạn thử chiếc áo này đi.
Trợ từ kết cấu 的 rút gọn,2,Rút gọn danh từ lặp lại. Cấu trúc: Cụm định ngữ/Tính từ + 的,1. 这双鞋有黑的吗？2. 我的手机是苹果的。3. 那个大的是我的。,1. Zhè shuāng xié yǒu hēi de ma?2. Wǒ de shǒujī shì Píngguǒ de.3. Nàge dà de shì wǒ de.,1. Đôi giày này có màu đen không?2. Điện thoại tôi là (đồ của) Apple.3. Cái to đó là của tôi.
