哎哟,āi yōu,ái chà
挨,ái,"chịu đựng, bị"
癌症,ái zhèng,ung thư
爱不释手,ài bù shì shǒu,yêu không rời tay
爱戴,ài dài,"yêu mến, kính trọng"
暧昧,ài mèi,"mập mờ, không rõ ràng"
安居乐业,ān jū lè yè,an cư lạc nghiệp
安宁,ān níng,yên bình
安详,ān xiáng,"bình thản, điềm tĩnh"
安置,ān zhì,"sắp xếp, bố trí"
案件,àn jiàn,vụ án
案例,àn lì,"trường hợp, ví dụ"
按摩,àn mó,mát xa
暗示,àn shì,"ám hiệu, gợi ý"
昂贵,áng guì,đắt đỏ
凹凸,āo tū,lồi lõm
熬,áo,"nấu, chịu đựng"
奥秘,ào mì,"bí mật, huyền bí"
扒,bā,"cào, móc, kéo"
疤,bā,vết sẹo
巴不得,bā bu de,"nóng lòng, mong mỏi"
巴结,bā jié,"nịnh nọt, xu nịnh"
拔苗助长,bá miáo zhù zhǎng,đốt cháy giai đoạn
把关,bǎ guān,"trông coi, bảo vệ"
把手,bǎ shǒu,"tay cầm, tay nắm"
把戏,bǎ xì,"trò biểu diễn, trò ảo thuật"
霸道,bà dào,"bá đạo, hung hăng"
罢工,bà gōng,đình công
掰,bāi,bẻ gãy
百分点,bǎi fēn diǎn,điểm phần trăm
摆脱,bǎi tuō,thoát khỏi
拜访,bài fǎng,thăm hỏi
败坏,bài huài,"phá hoại, làm hỏng"
拜年,bài nián,chúc Tết
拜托,bài tuō,nhờ vả
颁布,bān bù,ban hành
颁发,bān fā,trao tặng
斑纹,bān wén,"hoa văn, vằn"
版本,bǎn běn,phiên bản
伴侣,bàn lǚ,bạn đời
伴随,bàn suí,"đi cùng, đi kèm"
半途而废,bàn tú ér fèi,bỏ dở giữa chừng
扮演,bàn yǎn,đóng vai
绑架,bǎng jià,bắt cóc
榜样,bǎng yàng,"tấm gương, mẫu mực"
磅,bàng,pound (đơn vị đo lường)
包庇,bāo bì,"che giấu, bao che"
包袱,bāo fu,gánh nặng
包围,bāo wéi,bao vây
包装,bāo zhuāng,đóng gói
保管,bǎo guǎn,bảo quản
饱和,bǎo hé,bão hòa
饱经沧桑,bǎo jīng cāng sāng,trải qua nhiều thăng trầm
保密,bǎo mì,giữ bí mật
保姆,bǎo mǔ,bảo mẫu
保守,bǎo shǒu,bảo thủ
保卫,bǎo wèi,bảo vệ
保养,bǎo yǎng,bảo dưỡng
保障,bǎo zhàng,bảo đảm
保重,bǎo zhòng,bảo trọng
报仇,bào chóu,báo thù
报酬,bào chóu,thù lao
报答,bào dá,báo đáp
报到,bào dào,báo danh
爆发,bào fā,bùng phát
报复,bào fù,báo thù
抱负,bào fù,hoài bão
曝光,bào guāng,"phơi bày, lộ diện"
暴力,bào lì,bạo lực
暴露,bào lù,lộ ra
报社,bào shè,tòa soạn báo
报销,bào xiāo,thanh toán (chi phí)
抱怨,bào yuàn,phàn nàn
爆炸,bào zhà,nổ
悲哀,bēi āi,bi ai
卑鄙,bēi bǐ,đê tiện
悲惨,bēi cǎn,bi thảm
北极,běi jí,Bắc Cực
被动,bèi dòng,bị động
备份,bèi fèn,sao lưu
被告,bèi gào,bị cáo
贝壳,bèi ké,vỏ sò
背叛,bèi pàn,phản bội
背诵,bèi sòng,đọc thuộc lòng
备忘录,bèi wàng lù,"sổ tay, sổ ghi nhớ"
奔波,bēn bō,"bôn ba, vất vả"
奔驰,bēn chí,chạy nhanh
本能,běn néng,bản năng
本钱,běn qián,vốn
本人,běn rén,bản thân
本身,běn shēn,bản thân
本事,běn shì,tài năng
本着,běn zhe,căn cứ vào
笨拙,bèn zhuō,vụng về
崩溃,bēng kuì,sụp đổ
甭,béng,không cần
蹦,bèng,nhảy lên
迸发,bèng fā,bùng phát
逼迫,bī pò,ép buộc
鼻涕,bí tì,nước mũi
比方,bǐ fāng,ví dụ
比喻,bǐ yù,"so sánh, ví von"
比重,bǐ zhòng,tỷ trọng
臂,bì,cánh tay
弊病,bì bìng,"tệ nạn, bệnh tật"
必定,bì dìng,nhất định
弊端,bì duān,"tệ nạn, sai sót"
闭塞,bì sè,bế tắc
碧玉,bì yù,ngọc bích
鞭策,biān cè,khuyến khích
边疆,biān jiāng,biên cương
边界,biān jiè,biên giới
边境,biān jìng,biên giới
边缘,biān yuán,vùng rìa
编织,biān zhī,"đan, dệt"
扁,biǎn,"dẹp, bẹp"
贬低,biǎn dī,"hạ thấp, đánh giá thấp"
贬义,biǎn yì,nghĩa xấu
遍布,biàn bù,"rải rác, phân bố khắp"
变故,biàn gù,biến cố
辩护,biàn hù,biện hộ
辩解,biàn jiě,"giải thích, biện giải"
便利,biàn lì,tiện lợi
变迁,biàn qiān,biến đổi
辨认,biàn rèn,nhận diện
便条,biàn tiáo,ghi chú
便于,biàn yú,thuận tiện cho
辩证,biàn zhèng,biện chứng
变质,biàn zhì,biến chất
辫子,biàn zi,bím tóc
标本,biāo běn,mẫu vật
标记,biāo jì,ký hiệu
飙升,biāo shēng,tăng vọt
标题,biāo tí,tiêu đề
表决,biǎo jué,biểu quyết
表态,biǎo tài,bày tỏ thái độ
表彰,biǎo zhāng,khen ngợi
憋,biē,"nén, nhịn"
别人,bié rén,người khác
别墅,bié shù,biệt thự
别致,bié zhì,độc đáo
别扭,bié niu,"khó chịu, gượng gạo"
濒临,bīn lín,"cận kề, gần kề"
冰雹,bīng báo,mưa đá
并存,bìng cún,cùng tồn tại
并非,bìng fēi,không phải là
并列,bìng liè,đặt song song
拨打,bō dǎ,quay số điện thoại
播放,bō fàng,phát sóng
波浪,bō làng,sóng
波涛汹涌,bō tāo xiōng yǒng,sóng lớn cuồn cuộn
剥削,bō xuē,bóc lột
播种,bō zhǒng,gieo hạt
博大精深,bó dà jīng shēn,"uyên thâm, sâu sắc"
搏斗,bó dòu,"đấu tranh, vật lộn"
博览会,bó lǎn huì,triển lãm
伯母,bó mǔ,bác gái
薄弱,bó ruò,"yếu ớt, mỏng manh"
补偿,bǔ cháng,"bù đắp, đền bù"
补救,bǔ jiù,"cứu chữa, bổ cứu"
哺乳,bǔ rǔ,"bú, nuôi bằng sữa mẹ"
补贴,bǔ tiē,trợ cấp
捕捉,bǔ zhuō,bắt giữ
不得已,bù dé yǐ,bất đắc dĩ
步伐,bù fá,"bước đi, nhịp đi"
不妨,bù fáng,"không ngại, có thể"
不敢当,bù gǎn dāng,không dám nhận
布告,bù gào,thông báo
不顾,bù gù,không quan tâm
不禁,bù jīn,không nhịn được
布局,bù jú,bố trí
不堪,bù kān,không thể chịu nổi
不可思议,bù kě sī yì,không thể tưởng tượng
不愧,bù kuì,không hổ thẹn
不料,bù liào,không ngờ
不时,bù shí,thỉnh thoảng
部署,bù shǔ,bố trí
部位,bù wèi,"bộ phận, vị trí"
不惜,bù xī,"không tiếc, không ngại"
不相上下,bù xiāng shàng xià,không phân cao thấp
不像话,bù xiàng huà,"không ra gì, kỳ cục"
不屑一顾,bù xiè yí gù,không thèm ngó tới
不言而喻,bù yán ér yù,không cần nói cũng hiểu
不由得,bù yóu de,không kìm được
不择手段,bù zé shǒu duàn,không từ thủ đoạn
不止,bù zhǐ,không ngừng
布置,bù zhì,bố trí
裁缝,cái féng,thợ may
财富,cái fù,tài sản
才干,cái gàn,"tài cán, năng lực"
裁判,cái pàn,trọng tài
财务,cái wù,tài chính
裁员,cái yuán,cắt giảm nhân viên
财政,cái zhèng,tài chính
采购,cǎi gòu,mua sắm
采集,cǎi jí,"thu thập, sưu tập"
采纳,cǎi nà,chấp nhận
彩票,cǎi piào,vé số
参谋,cān móu,"tham mưu, cố vấn"
参照,cān zhào,tham khảo
残酷,cán kù,"tàn khốc, tàn bạo"
残留,cán liú,còn sót lại
残忍,cán rěn,tàn nhẫn
灿烂,càn làn,"rực rỡ, sáng lạn"
舱,cāng,"khoang (tàu, máy bay)"
苍白,cāng bái,"xanh xao, tái nhợt"
仓促,cāng cù,"vội vàng, gấp gáp"
仓库,cāng kù,"kho, nhà kho"
操劳,cāo láo,lao tâm khổ tứ
操练,cāo liàn,"thao luyện, luyện tập"
操纵,cāo zòng,"điều khiển, thao túng"
操作,cāo zuò,thao tác
嘈杂,cáo zá,ồn ào
草案,cǎo àn,"bản thảo, dự thảo"
草率,cǎo shuài,"qua loa, đại khái"
策划,cè huà,"kế hoạch, lập kế hoạch"
测量,cè liáng,đo lường
策略,cè lüè,chiến lược
侧面,cè miàn,"mặt bên, khía cạnh"
层出不穷,céng chū bù qióng,tầng tầng lớp lớp
层次,céng cì,"tầng lớp, cấp bậc"
差距,chā jù,chênh lệch
查获,chá huò,"tra ra, bắt được"
岔,chà,"rẽ nhánh, rẽ đường"
刹那,chà nà,"chớp mắt, trong khoảnh khắc"
诧异,chà yì,ngạc nhiên
柴油,chái yóu,dầu diesel
搀,chān,"nâng đỡ, dìu"
馋,chán,thèm thuồng
缠绕,chán rào,quấn quanh
阐述,chǎn shù,"trình bày, giải thích"
产业,chǎn yè,"công nghiệp, sản nghiệp"
颤抖,chàn dǒu,run rẩy
猖狂,chāng kuáng,điên cuồng
昌盛,chāng shèng,hưng thịnh
偿还,cháng huán,hoàn trả
常年,cháng nián,quanh năm
尝试,cháng shì,thử nghiệm
常务,cháng wù,thường vụ
场,chǎng,"sân, bãi, nơi"
场合,chǎng hé,"trường hợp, hoàn cảnh"
敞开,chǎng kāi,"mở rộng, mở toang"
场面,chǎng miàn,"cảnh tượng, tình cảnh"
场所,chǎng suǒ,"nơi, chỗ"
倡导,chàng dǎo,"khởi xướng, đề xướng"
畅通,chàng tōng,"thông suốt, thông suốt"
畅销,chàng xiāo,bán chạy
倡议,chàng yì,"sáng kiến, đề nghị"
超级,chāo jí,siêu cấp
钞票,chāo piào,tiền giấy
超越,chāo yuè,"vượt qua, vượt trội"
潮流,cháo liú,"trào lưu, dòng nước"
潮湿,cháo shī,ẩm ướt
嘲笑,cháo xiào,"chế giễu, cười nhạo"
撤退,chè tuì,"rút lui, thoái lui"
撤销,chè xiāo,"hủy bỏ, bãi bỏ"
沉淀,chén diàn,"lắng đọng, kết tủa"
陈旧,chén jiù,"cũ kỹ, lỗi thời"
陈列,chén liè,"trưng bày, bày biện"
沉闷,chén mèn,"nặng nề, u ám"
陈述,chén shù,"trình bày, phát biểu"
沉思,chén sī,"suy tư, trầm ngâm"
沉重,chén zhòng,"nặng nề, trĩu nặng"
沉着,chén zhuó,"bình tĩnh, điềm tĩnh"
称心如意,chèn xīn rú yì,"vừa ý, hài lòng"
称号,chēng hào,danh hiệu
橙,chéng,màu cam
盛,chéng,"đựng, chứa, đầy đủ"
承办,chéng bàn,"đảm nhận, thụ lý"
承包,chéng bāo,"thầu, bao thầu"
城堡,chéng bǎo,"lâu đài, thành trì"
成本,chéng běn,"giá thành, chi phí"
惩罚,chéng fá,trừng phạt
成交,chéng jiāo,"giao dịch, thành giao"
承诺,chéng nuò,"cam kết, hứa hẹn"
澄清,chéng qīng,"làm sáng tỏ, giải thích"
成天,chéng tiān,cả ngày
乘务员,chéng wù yuán,"tiếp viên (tàu, máy bay)"
呈现,chéng xiàn,"trình bày, xuất hiện"
成效,chéng xiào,"hiệu quả, kết quả"
成心,chéng xīn,"cố ý, cố tình"
成员,chéng yuán,thành viên
诚挚,chéng zhì,"chân thành, tha thiết"
秤,chèng,"cái cân, cân"
吃苦,chī kǔ,"chịu khổ, chịu đựng"
吃力,chī lì,"tốn sức, mệt nhọc"
迟缓,chí huǎn,"chậm chạp, trì hoãn"
持久,chí jiǔ,"bền bỉ, lâu dài"
池塘,chí táng,"ao, hồ"
迟疑,chí yí,"do dự, lưỡng lự"
赤道,chì dào,xích đạo
赤字,chì zì,"thâm hụt, thiếu hụt"
充当,chōng dāng,"đảm nhiệm, đóng vai"
冲动,chōng dòng,"xung động, kích động"
冲击,chōng jī,"tấn công, xung kích"
充沛,chōng pèi,"dồi dào, đầy đủ"
充实,chōng shí,"làm phong phú, bổ sung"
冲突,chōng tū,"xung đột, va chạm"
充足,chōng zú,"đầy đủ, phong phú"
崇拜,chóng bài,"sùng bái, tôn thờ"
重叠,chóng dié,"chồng chéo, trùng điệp"
崇高,chóng gāo,"cao cả, cao quý"
崇敬,chóng jìng,"kính trọng, tôn kính"
重阳节,Chóng yáng jié,lễ Trùng Cửu
抽空,chōu kòng,tranh thủ thời gian
筹备,chóu bèi,"chuẩn bị, sắp xếp"
踌躇,chóu chú,"do dự, lưỡng lự"
稠密,chóu mì,"dày đặc, đông đúc"
丑恶,chǒu è,"xấu xa, đê tiện"
初步,chū bù,"sơ bộ, bước đầu"
出路,chū lù,"đường ra, lối thoát"
出卖,chū mài,"bán, phản bội"
出身,chū shēn,"xuất thân, gốc gác"
出神,chū shén,"mê mẩn, ngẩn ngơ"
出息,chū xī,"triển vọng, tiền đồ"
出洋相,chū yáng xiàng,"làm trò cười, bẽ mặt"
储备,chǔ bèi,"dự trữ, tích trữ"
储存,chǔ cún,"dự trữ, cất giữ"
处分,chǔ fèn,"xử phạt, xử lý"
处境,chǔ jìng,"tình cảnh, hoàn cảnh"
