爱,ài,Động từ,Yêu; thương; yêu quý,爸爸爱妈妈。,Bàba ài māmā,Ba yêu mẹ.
爱好,àihào,Động từ,Yêu thích; yêu chuộng,我爱好打篮球。,Wǒ àihào dǎ lánqiú,Tôi thích chơi bóng rổ.
爱好,àihào,Danh từ,Sở thích,我的爱好是听音乐。,Wǒ de àihào shì tīng yīnyuè,Sở thích của tôi là nghe nhạc.
八,bā,Số từ,Số tám,他买了八个苹果。,Tā mǎi le bā gè píngguǒ,Anh ấy đã mua tám quả táo.
爸爸 | 爸,bàba,Danh từ,Bố; ba,他是我的爸爸。,Tā shì wǒ de bàba,Ông ấy là ba của tôi.
吧,ba,Trợ từ,Nhé; chứ; nào; thôi,我们去公园玩儿吧。,Wǒmen qù gōngyuán wán er ba,Chúng mình đi công viên chơi nhé.
白,bái,Tính từ,"Trắng, màu trắng",我姐姐的皮肤很白。,Wǒ jiějiě de pífū hěn bái,Da của chị tôi rất trắng.
白天,báitiān,Danh từ,Ban ngày,早睡吧，你白天还要去上课。,"Zǎo shuì ba, nǐ báitiān hái yào qù shàngkè","Ngủ sớm đi, bạn ban ngày còn phải đi học."
百,bǎi,Số từ,Một trăm; số 100,我有一百块钱。,Wǒ yǒu yībǎi kuài qián,Tôi có một trăm tệ.
班,bān,Danh từ,Lớp học,我们班有四十五个学生。,Wǒmen bān yǒu sìshíwǔ gè xuéshēng,Lớp của chúng tôi có 45 học sinh.
半,bàn,Số từ,"Một nửa
giữa; trung gian","现在六点半。
我们在半路上遇到了他。","Xiànzài liù diǎn bàn/
/Wǒmen zài bàn lùshàng yù dàole tā","Bây giờ là 6 giờ rưỡi.
Chúng tôi đã gặp anh ấy giữa đường."
半年,bànnián,Danh từ,Nửa năm,我来上海学习已经有半年了。,Wǒ lái shànghǎi xuéxí yǐjīng yǒu bànnián le,Tôi đến Thượng Hải học đã được nửa năm.
半天,bàntiān,Danh từ,"Nửa ngày
cả buổi; rất lâu","我今天要工作半天。
我在门口等了你半天。","Wǒ jīntiān yào gōngzuò bàntiān/
/Wǒ zài ménkǒu děng le nǐ bàntiān","Tôi hôm nay phải đi làm nửa ngày.
Anh đã đứng trước cửa đợi em rất lâu."
帮,bāng,Động từ,"Giúp đỡ, trợ giúp",他经常帮我做家务。,Tā jīngcháng bāng wǒ zuò jiāwù,Anh ấy thường giúp tôi làm việc nhà.
帮忙,bāngmáng,Động từ,"Giúp, giúp đỡ",你可以来帮忙吗？,Nǐ kěyǐ lái bāngmáng ma?,Bạn có thể lại giúp đỡ không?
包,bāo,Động từ,Bao; gói; bọc; quấn,妈妈在包饺子。,Māma zài bāo jiǎozǐ,Mẹ đang gói sủi cảo.
包子,bāozǐ,Danh từ,Bánh bao,我今天早上吃了两个包子。,Wǒ jīntiān zǎoshang chī le liǎng gè bāozǐ,Sáng nay tôi đã ăn 2 cái bánh bao.
杯,bēi,Danh từ,"Ly; cốc
cúp (giải thưởng)","我喝了一杯奶茶。
我们队赢得了冠军杯。","Wǒ hēle yībēi nǎichá/
/Wǒmen duì yíngdéle guànjūn bēi","Tôi đã uống 1 ly trà sữa.
Đội chúng tôi đã giành được cúp vô địch."
杯子,bēizi,Danh từ,Ly; cốc; tách,这个杯子太小了。,Zhège bēizǐ tài xiǎole,Cái ly này quá nhỏ.
北,běi,Danh từ,"Bắc, phía bắc",我们一直往北走吧。,Wǒmen yīzhí wǎng běi zǒu ba,Chúng ta cứ đi về phía bắc đi.
北边,běibian,Danh từ,Phía bắc,北边的天气很冷。,Běibian de tiānqì hěn lěng,Thời tiết của phương bắc rất lạnh.
北京,Běijīng,Danh từ,Bắc kinh,北京是中国的首都。,Běijīng shì zhōngguó de shǒudū,Bắc Kinh là thủ đô của Trung Quốc.
本,běn,Lượng từ,Cuốn; tập; vở,你读过这本书了吗？,Nǐ dúguò zhè běn shū le ma?,Bạn đã đọc cuốn sách này chưa?
本子,běnzǐ,Danh từ,"Cuốn; tập; vở
giấy phép; chứng chỉ","这个歌剧的本子挺有意思的。
在越南，满18周岁就可以考本子了。","Zhège gējù de běnzi tǐng yǒuyìsi de/
/Zài Yuènán, mǎn 18 zhōusuì jiù kěyǐ kǎo běnzǐ le","Bản nhạc kịch này thật thú vị.
Ở Việt Nam, bạn đủ 18 tuổi đã có thể thi giấy phép lấy xe."
